text_id,text_uri,title_ar,title_lat,ed_info,collection,tok_length,volumes,page_count,author_id,tags
JK007530,0037IbnMuqbil.Diwan.JK007530-ara1,ديوان ابن مقبل,Diwan,nan,al-Jāmiʿ al-Kabīr,12721,1,186,0037IbnMuqbil,_SHICR
JK007540,0040CaliIbnAbiTalib.Diwan.JK007540-ara1,ديوان علي بن أبي طالب,Diwan,nan,al-Jāmiʿ al-Kabīr,7921,1,186,0040CaliIbnAbiTalib,_SHICR
JK007538,0041LabidIbnRabica.Diwan.JK007538-ara2,ديوان لبيد بن ربيعة العامري,Diwan,nan,al-Jāmiʿ al-Kabīr,10180,1,136,0041LabidIbnRabica,_MUKHADRAM :: _BALAGHA :: _ADAB :: _SHICR
ShamAY0038523,0041LabidIbnRabica.Mucallaqa.ShamAY0038523-ara1,معلقة لبيد بن ربيعة :: معلقة لبيد بن ربيعة ,Mucallaqa,nan,al-Maktaba al-Shāmila AY,783,1,6,0041LabidIbnRabica,_SHICR
JK007531,0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1,ديوان الحطيئة,Diwan,nan,al-Jāmiʿ al-Kabīr,9294,1,160,0045JarwalIbnAwsHutaya,_MUKHADRAM :: _SHICR
JK007506,0050KhirniqBintBadr.Diwan.JK007506-ara1,ديوان الخرنق بنت بدر,Diwan,nan,al-Jāmiʿ al-Kabīr,565,1,14,0050KhirniqBintBadr,_SHICR
JK007534,0054HassanIbnThabit.Diwan.JK007534-ara1,ديوان حسان بن ثابت,Diwan,nan,al-Jāmiʿ al-Kabīr,19139,1,322,0054HassanIbnThabit,_MUKHADRAM :: _SHICR
JK007541,0060MucawiyaIbnAbiSufyan.Diwan.JK007541-ara1,ديوان معاوية بن أبي سفيان,Diwan,nan,al-Jāmiʿ al-Kabīr,2350,1,64,0060MucawiyaIbnAbiSufyan,_SHICR
Sham19Y0149485,0060SuwaydIbnAbiKahil.Diwan.Sham19Y0149485-ara1,ديوان سويد بن أبي كاهل اليشكري,Diwan,"الأولى، 1972 م :: ساعدت وزارة الإعلام على نشره",al-Maktaba al-Shāmila,1641,1,31,0060SuwaydIbnAbiKahil,_SHICR
Sham19Y0149016,0063AbuDihbilJumahi.Diwan.Sham19Y0149016-ara1,ديوان أبي دهبل الجمحي (رواية أبي عمرو الشيباني) :: ديوان أبي دهبل الجمحي,Diwan,"عبد العظيم عبد المحسن :: الأولى، 1392 ه - 1972 م :: مطبعة القضاء في النجف الأشرف",al-Maktaba al-Shāmila,5470,1,74,0063AbuDihbilJumahi,_SHICR
Shamela0023622,0068CabdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1,غريب القرآن في شعر العرب ((مسائل نافع بن الأزرق لعبد الله بن عباس - رضي الله عنه وعن أبيه)),Gharib Quran,nan,al-Maktaba al-Shāmila,12834,1,263,0068CabdAllahIbnCabbas,_CULUM :: _QURAN
JK007557,0068QaysIbnDharihLubna.Diwan.JK007557-ara1,ديوان قيس لبنى,Diwan,nan,al-Jāmiʿ al-Kabīr,4011,1,77,0068QaysIbnDharihLubna,_SHICR :: _SHICR_UMAWI
JK007560,0068QaysMajnunLayla.Diwan.JK007560-ara1,ديوان مجنون ليلى,Diwan,nan,al-Jāmiʿ al-Kabīr,7949,1,145,0068QaysMajnunLayla,_SHICR :: _SHICR_UMAWI
JK007559,0080LaylaAkhyaliyya.Diwan.JK007559-ara1,ديوان ليلى الأخيلية,Diwan,nan,al-Jāmiʿ al-Kabīr,2804,1,59,0080LaylaAkhyaliyya,_SHICR
JK007539,0080UqayshirAsadi.Diwan.JK007539-ara1,ديوان الأقيشر السعدي,Diwan,nan,al-Jāmiʿ al-Kabīr,1941,1,55,0080UqayshirAsadi,_SHICR
JK007550,0082JamilButhayna.Diwan.JK007550-ara1,ديوان جميل بثينة,Diwan,nan,al-Jāmiʿ al-Kabīr,7590,1,129,0082JamilButhayna,_SHICR
